benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,llm:solo,0.5,self,race,0.5591666666666667,0.6008333333333333,-0.041666666666666664,-0.1125,0.024166666666666666,0.1575424189504241,48,1.0,tie
boolq,llm:solo,0.5,majority,race,0.5591666666666667,0.725,-0.16583333333333336,-0.2833333333333334,-0.03583333333333335,0.010044358466049744,48,0.8127287430895014,tie
boolq,llm:solo,0.5,aip_gated,race,0.5591666666666667,0.7149999999999999,-0.15583333333333335,-0.3091875,0.01166666666666665,0.09231382566595565,48,1.0,tie
boolq,llm:solo,0.5,ds_onecoin,race,0.5591666666666667,0.6583333333333333,-0.09916666666666668,-0.145,-0.05416666666666666,0.00021140706265436603,48,0.0224091486413628,loss
boolq,llm:solo,0.7,self,race,0.5625,0.6194444444444444,-0.056944444444444464,-0.10697916666666671,-0.006944444444444472,0.019314680011257454,48,1.0,tie
boolq,llm:solo,0.7,majority,race,0.5625,0.7291666666666666,-0.16666666666666674,-0.3083333333333334,-0.020798611111111365,0.028603107677462217,48,1.0,tie
boolq,llm:solo,0.7,aip_gated,race,0.5625,0.6444444444444445,-0.0819444444444445,-0.25281250000000005,0.08753472222222196,0.5358452017523585,48,1.0,tie
boolq,llm:solo,0.7,ds_onecoin,race,0.5625,0.5541666666666667,0.008333333333333257,-0.19034722222222228,0.21392361111111083,0.3348141982394741,48,1.0,tie
mmlu,coherent,0.1,self,race,0.5527777777777778,0.42175925925925933,0.1310185185185185,0.050462962962962966,0.21436342592592583,0.010345666098580666,48,0.8173076217878726,tie
mmlu,coherent,0.1,majority,race,0.5527777777777778,0.4625000000000001,0.09027777777777779,0.022222222222222216,0.16064814814814812,0.018189118941675273,48,1.0,tie
mmlu,coherent,0.1,aip_gated,race,0.5527777777777778,0.4291666666666667,0.1236111111111111,0.04951388888888889,0.20744212962962943,0.004510115651371582,48,0.41042052427481396,tie
mmlu,coherent,0.1,ds_onecoin,race,0.5527777777777778,0.49166666666666664,0.061111111111111095,-0.039363425925925934,0.1667013888888887,0.2940771578155318,48,1.0,tie
mmlu,coherent,0.3,self,race,0.5595238095238094,0.42559523809523814,0.13392857142857142,0.06190476190476193,0.20894345238095233,0.005446539853976091,48,0.4847420470038721,tie
mmlu,coherent,0.3,majority,race,0.5595238095238094,0.3541666666666667,0.20535714285714288,0.11785714285714288,0.29526785714285697,5.8892776197023036e-05,48,0.006301527053081465,win
