benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
gsm8k,0.5,gate_aware,0.5,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,0.75,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,1.0,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,independent,1.0,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,llm:always_wrong,1.0,oracle_channel_honest,race,0.9726666666666668,0.9733333333333334,-0.0006666666666666665,-0.0019999999999999996,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.5,llm:rushing,1.0,oracle_channel_honest,race,0.9719999999999999,0.9733333333333334,-0.0013333333333333333,-0.004,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.5,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9713333333333333,0.9733333333333334,-0.0019999999999999996,-0.004666666666666665,0.0,0.0832645166635504,200,1.0,tie
gsm8k,0.5,llm:semantic_negation,1.0,oracle_channel_honest,race,0.972,0.9733333333333334,-0.001333333333333333,-0.0033333333333333327,0.0,0.15729920705028516,200,1.0,tie
gsm8k,0.5,partial,0.5,oracle_channel_honest,race,0.9703333333333333,0.9733333333333334,-0.003,-0.007666666666666666,0.0,0.1573005107696258,200,1.0,tie
gsm8k,0.5,partial,0.8,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,sleeper,1.0,oracle_channel_honest,race,0.6893333333333334,0.9733333333333334,-0.28400000000000014,-0.30866666666666676,-0.2590000000000001,1.6736505534068707e-37,200,5.405891287504193e-35,loss
gsm8k,0.5,uninformative,1.0,oracle_channel_honest,race,0.9716666666666667,0.9733333333333334,-0.0016666666666666666,-0.005,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.7,attractor,1.0,oracle_channel_honest,race,0.9727777777777777,0.9716666666666667,0.0011111111111111111,-0.0016666666666666674,0.005,0.9971719968404295,200,1.0,tie
gsm8k,0.7,camouflage,0.7,oracle_channel_honest,race,0.9366666666666665,0.9716666666666667,-0.03500000000000001,-0.05168055555555557,-0.019986111111111187,4.639410366404032e-06,200,0.0013407895958907651,loss
gsm8k,0.7,camouflage,0.9,oracle_channel_honest,race,0.9366666666666665,0.9716666666666667,-0.03500000000000001,-0.052222222222222225,-0.020000000000000004,4.639410366404032e-06,200,0.0013407895958907651,loss
gsm8k,0.7,echo,1.0,oracle_channel_honest,race,0.9561111111111111,0.9716666666666667,-0.015555555555555559,-0.02666666666666667,-0.006111111111111111,0.0015671598914153992,200,0.4090287316594192,tie
gsm8k,0.7,gate_aware,0.0,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
